iter,emin,light,heavy,frac_l,frac_h
33,32.0,[770.98553],[726.3238],[0.22764228],[0.40650407]
34,4.0,[823.08417],[737.0498],[0.14078709],[0.21817882]
34,8.0,[794.40607],[737.0498],[0.23572744],[0.27348066]
34,16.0,[765.7279],[751.38885],[0.39305302],[0.48994516]
34,32.0,[794.40607],[722.71075],[0.12230216],[0.39568345]
35,4.0,[807.9624],[742.18036],[0.21373922],[0.26697054]
35,8.0,[791.5169],[742.18036],[0.24416433],[0.32959851]
35,16.0,[791.5169],[758.62585],[0.20512821],[0.54029304]
35,32.0,[775.0714],[742.18036],[0.2],[0.65714286]
36,4.0,[816.5242],[745.3755],[0.16338259],[0.29917898]
36,8.0,[798.73694],[727.5883],[0.20861244],[0.2]
36,16.0,[763.16266],[745.3755],[0.41818182],[0.41272727]
36,32.0,[780.9498],[727.5883],[0.15942029],[0.42753623]
37,4.0,[808.2245],[742.5006],[0.20490998],[0.27315876]
37,8.0,[775.36255],[742.5006],[0.37360505],[0.31392528]
37,16.0,[775.36255],[726.06964],[0.29349736],[0.25483304]
37,32.0,[775.36255],[709.63873],[0.140625],[0.265625]
38,4.0,[798.10785],[752.8974],[0.26876632],[0.35704961]
38,8.0,[783.0377],[752.8974],[0.31839847],[0.41706387]
38,16.0,[798.10785],[737.8273],[0.17992424],[0.35416667]
38,32.0,[798.10785],[722.75714],[0.13970588],[0.43382353]
39,4.0,[816.9635],[745.9125],[0.16341903],[0.29818241]
39,8.0,[781.438],[763.67523],[0.33458119],[0.51988769]
39,16.0,[799.20074],[745.9125],[0.16755793],[0.43493761]
39,32.0,[763.67523],[728.1497],[0.23648649],[0.47297297]
40,4.0,[826.78925],[735.82135],[0.12720848],[0.21185352]
40,8.0,[781.3053],[735.82135],[0.32187645],[0.27775197]
40,16.0,[781.3053],[735.82135],[0.29111531],[0.34404537]
40,32.0,[766.144],[735.82135],[0.24409449],[0.59055118]
41,4.0,[813.85065],[738.3466],[0.18552261],[0.22809342]
41,8.0,[798.7499],[753.44745],[0.22488976],[0.43704067]
41,16.0,[783.64905],[738.3466],[0.25352113],[0.40316901]
41,32.0,[783.64905],[738.3466],[0.29770992],[0.51145038]
42,4.0,[817.1295],[738.84186],[0.16060999],[0.23475016]
42,8.0,[801.472],[738.84186],[0.20346535],[0.28960396]
42,16.0,[785.81445],[738.84186],[0.23092784],[0.37938144]
42,32.0,[801.472],[723.1843],[0.10294118],[0.38235294]
43,4.0,[800.82837],[743.8005],[0.24461364],[0.28284465]
43,8.0,[800.82837],[729.5435],[0.21690141],[0.22300469]
43,16.0,[786.57135],[743.8005],[0.27240773],[0.37785589]
43,32.0,[758.05743],[715.2865],[0.3220339],[0.3220339]
44,4.0,[813.27563],[744.8327],[0.1840589],[0.28569142]
44,8.0,[779.0542],[744.8327],[0.35447394],[0.36529007]
44,16.0,[779.0542],[744.8327],[0.27606178],[0.43436293]
44,32.0,[779.0542],[744.8327],[0.16666667],[0.58730159]
45,4.0,[789.7562],[747.252],[0.33764554],[0.31241915]
45,8.0,[789.7562],[733.0839],[0.25330813],[0.24102079]
45,16.0,[775.58813],[747.252],[0.33771107],[0.43527205]
45,32.0,[747.252],[733.0839],[0.43220339],[0.48305085]
46,4.0,[795.21124],[745.13025],[0.28870361],[0.29785843]
46,8.0,[778.5176],[745.13025],[0.36056066],[0.33494442]
46,16.0,[778.5176],[745.13025],[0.24144144],[0.48828829]
46,32.0,[745.13025],[711.74286],[0.31468531],[0.32867133]
47,4.0,[817.5169],[739.34314],[0.16012966],[0.23938412]
47,8.0,[786.24744],[739.34314],[0.29475767],[0.3090999]
47,16.0,[770.6127],[739.34314],[0.35531136],[0.38278388]
47,32.0,[770.6127],[723.7084],[0.25757576],[0.36363636]
48,4.0,[820.2965],[730.0433],[0.14958039],[0.16998519]
48,8.0,[802.24585],[748.0939],[0.20085066],[0.3936673]
48,16.0,[784.1952],[748.0939],[0.26678766],[0.45916515]
48,32.0,[784.1952],[748.0939],[0.15503876],[0.6124031]
49,4.0,[812.11456],[750.85095],[0.19002106],[0.34100113]
49,8.0,[781.4828],[735.53503],[0.33057045],[0.2662116]
49,16.0,[766.1669],[735.53503],[0.38631791],[0.34808853]
49,32.0,[796.79865],[704.9032],[0.07246377],[0.16666667]
50,4.0,[802.1942],[746.488],[0.23898553],[0.2981629]
50,8.0,[816.1207],[732.5614],[0.14487117],[0.21536218]
50,16.0,[788.26764],[732.5614],[0.19419238],[0.31941924]
50,32.0,[760.4145],[718.6348],[0.22764228],[0.39837398]
51,4.0,[799.19366],[738.88904],[0.26180397],[0.23852165]
51,8.0,[799.19366],[738.88904],[0.20412075],[0.29899377]
51,16.0,[769.0414],[738.88904],[0.3960396],[0.37227723]
51,32.0,[753.9652],[738.88904],[0.30656934],[0.55474453]
52,4.0,[801.7232],[747.4887],[0.24983681],[0.32229112]
52,8.0,[783.645],[747.4887],[0.31362725],[0.38627255]
52,16.0,[765.5669],[747.4887],[0.36619718],[0.5]
52,32.0,[801.7232],[711.3324],[0.10169492],[0.3220339]
53,4.0,[815.9524],[738.77905],[0.17434211],[0.23305921]
53,8.0,[800.51776],[738.77905],[0.21343284],[0.28059701]
53,16.0,[785.08307],[738.77905],[0.238],[0.39]
53,32.0,[769.6484],[723.34436],[0.24031008],[0.41085271]
54,4.0,[806.84344],[739.9655],[0.20758418],[0.25122589]
54,8.0,[806.84344],[739.9655],[0.18463811],[0.29542097]
54,16.0,[773.4045],[739.9655],[0.3032491],[0.39711191]
54,32.0,[790.12396],[739.9655],[0.18699187],[0.51219512]
55,4.0,[818.6406],[741.49854],[0.16607546],[0.26507578]
55,8.0,[787.7838],[741.49854],[0.27793427],[0.31361502]
55,16.0,[803.2122],[726.0701],[0.13812155],[0.2320442]
55,32.0,[787.7838],[726.0701],[0.15873016],[0.44444444]
56,4.0,[796.3577],[750.6567],[0.27667039],[0.34268857]
56,8.0,[796.3577],[750.6567],[0.23515326],[0.39319923]
56,16.0,[781.124],[750.6567],[0.28651685],[0.47940075]
56,32.0,[750.6567],[720.1893],[0.37121212],[0.38636364]
57,4.0,[817.8476],[732.19275],[0.16619625],[0.1829653]
57,8.0,[775.0202],[746.46857],[0.37799511],[0.36430318]
57,16.0,[789.296],[746.46857],[0.19963031],[0.45286506]
57,32.0,[775.0202],[746.46857],[0.2027027],[0.57432432]
58,4.0,[806.5481],[744.42664],[0.22261712],[0.28077544]
58,8.0,[775.4874],[744.42664],[0.3696069],[0.34467881]
58,16.0,[775.4874],[744.42664],[0.2967033],[0.43406593]
58,32.0,[759.95703],[744.42664],[0.208],[0.656]
59,4.0,[808.2511],[734.5907],[0.21136063],[0.20888375]
59,8.0,[808.2511],[734.5907],[0.16608825],[0.2518592]
59,16.0,[778.7869],[719.85864],[0.25181159],[0.22644928]
59,32.0,[778.7869],[719.85864],[0.175],[0.36666667]
60,4.0,[808.9336],[734.62384],[0.20596917],[0.20072155]
60,8.0,[808.9336],[734.62384],[0.16666667],[0.25221239]
60,16.0,[779.2097],[749.48584],[0.27859779],[0.46125461]
60,32.0,[764.3478],[719.7619],[0.25],[0.45833333]
61,4.0,[799.43066],[746.1787],[0.25285454],[0.31110376]
61,8.0,[799.43066],[728.42804],[0.20610305],[0.1975988]
61,16.0,[763.9294],[746.1787],[0.40354331],[0.45275591]
61,32.0,[763.9294],[746.1787],[0.272],[0.592]
62,4.0,[798.66974],[745.2976],[0.27637871],[0.28817341]
62,8.0,[816.46045],[727.50696],[0.11508704],[0.21421663]
62,16.0,[780.879],[727.50696],[0.2571977],[0.27831094]
62,32.0,[763.0883],[745.2976],[0.21875],[0.6328125]
63,4.0,[785.0686],[756.299],[0.36374002],[0.3920834]
63,8.0,[785.0686],[741.91425],[0.31081719],[0.33301842]
63,16.0,[785.0686],[741.91425],[0.23595506],[0.41198502]
63,32.0,[770.68384],[756.299],[0.25],[0.66129032]
64,4.0,[811.3651],[739.06995],[0.19563107],[0.2433657]
64,8.0,[793.2913],[739.06995],[0.24239544],[0.29325095]
64,16.0,[793.2913],[739.06995],[0.18590998],[0.4109589]
64,32.0,[775.2175],[739.06995],[0.2300885],[0.54867257]
65,4.0,[803.61017],[731.69476],[0.2394412],[0.18144899]
65,8.0,[803.61017],[731.69476],[0.17423495],[0.23988154]
65,16.0,[785.63135],[749.67365],[0.25408348],[0.4646098]
65,32.0,[785.63135],[713.71594],[0.16551724],[0.29655172]
66,4.0,[804.305],[746.91437],[0.24020719],[0.3043056]
66,8.0,[789.95734],[732.5667],[0.26656848],[0.22925871]
66,16.0,[789.95734],[732.5667],[0.23309609],[0.29181495]
66,32.0,[789.95734],[703.8714],[0.09929078],[0.21276596]
67,4.0,[827.0486],[748.5194],[0.13303733],[0.31721756]
67,8.0,[795.6369],[732.8136],[0.24225613],[0.23901988]
67,16.0,[795.6369],[732.8136],[0.17668488],[0.30783242]
67,32.0,[748.5194],[732.8136],[0.4084507],[0.5]
68,4.0,[798.9043],[745.5692],[0.27123967],[0.29305785]
68,8.0,[781.1259],[745.5692],[0.33414993],[0.36207741]
68,16.0,[781.1259],[745.5692],[0.2411215],[0.45233645]
68,32.0,[781.1259],[727.79083],[0.11666667],[0.49166667]
69,4.0,[802.2942],[748.1499],[0.24842919],[0.32447237]
69,8.0,[802.2942],[748.1499],[0.21103582],[0.37463698]
69,16.0,[784.2461],[730.1018],[0.24264706],[0.29595588]
69,32.0,[748.1499],[712.05365],[0.3880597],[0.23134328]
70,4.0,[798.9896],[753.7272],[0.26507193],[0.37433328]
70,8.0,[798.9896],[738.6397],[0.22309833],[0.27829314]
70,16.0,[783.90216],[738.6397],[0.25307557],[0.35325132]
70,32.0,[768.8147],[753.7272],[0.23357664],[0.60583942]
71,4.0,[803.8959],[746.6871],[0.22893507],[0.30723377]
71,8.0,[803.8959],[732.3849],[0.19232637],[0.22778048]
71,16.0,[760.9893],[732.3849],[0.38490566],[0.33773585]
71,32.0,[760.9893],[732.3849],[0.32],[0.48]
72,4.0,[818.21246],[745.5467],[0.15467803],[0.30083565]
72,8.0,[800.046],[745.5467],[0.20891089],[0.3529703]
72,16.0,[800.046],[727.38025],[0.17837838],[0.25405405]
72,32.0,[818.21246],[709.21387],[0.03100775],[0.26356589]
73,4.0,[805.8927],[735.8626],[0.21588529],[0.21330756]
73,8.0,[791.8867],[735.8626],[0.26004843],[0.25326877]
73,16.0,[791.8867],[749.86865],[0.20380952],[0.49333333]
73,32.0,[805.8927],[735.8626],[0.136],[0.472]
74,4.0,[802.6169],[749.86804],[0.2342663],[0.3368387]
74,8.0,[785.03394],[732.2851],[0.32036947],[0.23334954]
74,16.0,[802.6169],[732.2851],[0.15664845],[0.30783242]
74,32.0,[767.451],[732.2851],[0.12],[0.512]
75,4.0,[797.3696],[742.10364],[0.27554774],[0.26387334]
75,8.0,[797.3696],[728.2872],[0.21626887],[0.19483682]
75,16.0,[783.5531],[742.10364],[0.2407767],[0.4038835]
75,32.0,[755.92017],[714.4707],[0.344],[0.296]
76,4.0,[815.59216],[744.2163],[0.1817284],[0.28674897]
76,8.0,[772.7666],[744.2163],[0.3971564],[0.3492891]
76,16.0,[787.0418],[744.2163],[0.19753086],[0.45855379]
76,32.0,[787.0418],[715.6659],[0.09285714],[0.40714286]
77,4.0,[796.834],[751.2123],[0.27793606],[0.34868629]
77,8.0,[796.834],[736.00507],[0.23416507],[0.25815739]
77,16.0,[781.6268],[720.7978],[0.23062731],[0.19926199]
77,32.0,[751.2123],[720.7978],[0.33064516],[0.39516129]
78,4.0,[809.3943],[743.9304],[0.19406615],[0.29101816]
78,8.0,[793.0283],[743.9304],[0.25782779],[0.34050881]
78,16.0,[793.0283],[727.56445],[0.1953405],[0.2562724]
78,32.0,[776.66235],[743.9304],[0.15789474],[0.62406015]
79,4.0,[817.9592],[739.9155],[0.15780142],[0.24790458]
79,8.0,[802.35046],[724.3068],[0.19511048],[0.16267043]
79,16.0,[786.74176],[724.3068],[0.21505376],[0.22043011]
79,32.0,[771.133],[724.3068],[0.22727273],[0.40909091]
80,4.0,[807.6896],[741.8469],[0.21093497],[0.26625687]
80,8.0,[791.22894],[741.8469],[0.26097328],[0.32395038]
80,16.0,[774.76825],[741.8469],[0.28776978],[0.4118705]
80,32.0,[791.22894],[741.8469],[0.1119403],[0.67910448]
81,4.0,[796.94214],[743.29724],[0.28317125],[0.27657821]
81,8.0,[796.94214],[725.4156],[0.22613803],[0.16593245]
81,16.0,[779.0605],[743.29724],[0.27695167],[0.42379182]
81,32.0,[743.29724],[725.4156],[0.41428571],[0.36428571]
82,4.0,[803.7407],[736.1732],[0.23090702],[0.21169191]
82,8.0,[786.8488],[736.1732],[0.29855936],[0.26378539]
82,16.0,[786.8488],[736.1732],[0.24196597],[0.33270321]
82,32.0,[786.8488],[736.1732],[0.10294118],[0.57352941]
83,4.0,[784.5227],[749.30566],[0.36729396],[0.33079169]
83,8.0,[784.5227],[749.30566],[0.29456265],[0.40047281]
83,16.0,[802.1312],[731.69714],[0.14478114],[0.26430976]
83,32.0,[766.9142],[731.69714],[0.25217391],[0.51304348]
84,4.0,[801.6693],[743.9366],[0.2506896],[0.28525069]
84,8.0,[787.2361],[743.9366],[0.2942607],[0.32587549]
84,16.0,[772.8029],[758.36975],[0.32633588],[0.55534351]
84,32.0,[758.36975],[743.9366],[0.26811594],[0.5942029]
85,4.0,[816.95496],[744.0098],[0.1680879],[0.28632338]
85,8.0,[816.95496],[725.7735],[0.13109323],[0.18125887]
85,16.0,[762.2461],[744.0098],[0.43243243],[0.42084942]
85,32.0,[798.7187],[707.53723],[0.12230216],[0.22302158]
86,4.0,[788.1266],[746.46924],[0.34205426],[0.31120801]
86,8.0,[788.1266],[732.5835],[0.30165083],[0.22061031]
86,16.0,[802.0124],[718.6977],[0.13773585],[0.20566038]
86,32.0,[760.35504],[746.46924],[0.20454545],[0.6969697]
87,4.0,[809.0651],[742.93463],[0.20042679],[0.28447144]
87,8.0,[792.5325],[726.402],[0.26695736],[0.16957364]
87,16.0,[792.5325],[726.402],[0.18132855],[0.27468582]
87,32.0,[759.4673],[742.93463],[0.28571429],[0.62698413]
88,4.0,[812.5504],[747.58344],[0.19795278],[0.30543173]
88,8.0,[786.5636],[734.59],[0.28424658],[0.23923679]
88,16.0,[760.57684],[747.58344],[0.43495146],[0.44854369]
88,32.0,[773.57025],[747.58344],[0.18796992],[0.60150376]
89,4.0,[804.72626],[747.89465],[0.22373762],[0.31303783]
89,8.0,[776.3104],[733.68677],[0.36042574],[0.2327044]
89,16.0,[790.5183],[747.89465],[0.18811881],[0.44554455]
89,32.0,[818.93414],[719.4789],[0.10638298],[0.36879433]
90,4.0,[807.28174],[734.16046],[0.21767029],[0.19512998]
90,8.0,[763.409],[748.7847],[0.45894637],[0.40484101]
90,16.0,[792.6575],[748.7847],[0.19816514],[0.48623853]
90,32.0,[792.6575],[719.5362],[0.07258065],[0.37903226]
91,4.0,[824.64166],[735.0816],[0.13322395],[0.20164069]
91,8.0,[809.71497],[735.0816],[0.14795433],[0.26070409]
91,16.0,[779.86163],[735.0816],[0.28355705],[0.3590604]
91,32.0,[764.93494],[720.15497],[0.24285714],[0.42142857]
92,4.0,[791.71405],[746.7353],[0.31696211],[0.29874776]
92,8.0,[791.71405],[731.7424],[0.26380368],[0.23784804]
92,16.0,[791.71405],[746.7353],[0.20702403],[0.49537893]
92,32.0,[776.7211],[716.74945],[0.24031008],[0.31007752]
93,4.0,[806.84674],[740.8167],[0.21564792],[0.2593317]
93,8.0,[806.84674],[740.8167],[0.16049383],[0.3005698]
93,16.0,[806.84674],[724.3092],[0.1452514],[0.23463687]
93,32.0,[773.8317],[724.3092],[0.14166667],[0.49166667]
94,4.0,[823.8616],[738.17786],[0.14045753],[0.22524396]
94,8.0,[781.0197],[738.17786],[0.33057851],[0.27640037]
94,16.0,[766.73914],[738.17786],[0.328],[0.394]
94,32.0,[752.4585],[723.8973],[0.31034483],[0.48965517]
95,4.0,[797.87134],[751.1262],[0.27256347],[0.35692056]
95,8.0,[797.87134],[735.5445],[0.21378668],[0.2617606]
95,16.0,[782.2896],[751.1262],[0.2380137],[0.51712329]
95,32.0,[782.2896],[719.9628],[0.19047619],[0.37414966]
96,4.0,[809.9981],[750.8008],[0.20383191],[0.34519401]
96,8.0,[795.1987],[736.00146],[0.23026927],[0.24791086]
96,16.0,[780.3994],[750.8008],[0.26785714],[0.46607143]
96,32.0,[765.6001],[736.00146],[0.1986755],[0.52980132]
97,4.0,[808.9336],[734.62384],[0.2093246],[0.20022354]
97,8.0,[779.2097],[749.48584],[0.34575772],[0.39480137]
97,16.0,[764.3478],[749.48584],[0.41619586],[0.45951036]
97,32.0,[779.2097],[719.7619],[0.13970588],[0.38970588]
98,4.0,[818.11566],[734.0374],[0.16848445],[0.19941397]
98,8.0,[801.30005],[734.0374],[0.19538606],[0.23681733]
98,16.0,[767.6687],[734.0374],[0.33576642],[0.34854015]
98,32.0,[767.6687],[734.0374],[0.22916667],[0.51388889]
99,4.0,[803.55884],[740.28033],[0.23024167],[0.25048988]
99,8.0,[803.55884],[740.28033],[0.19008264],[0.29654837]
99,16.0,[771.91956],[756.1],[0.35583942],[0.52372263]
99,32.0,[756.1],[740.28033],[0.27464789],[0.58450704]
